File Name,Sentence,Mistake Text,Error Message,replacements,Character/ Start Position in Text,Character/ End Position in Text,Error Type,Error Subtype
English Assignment.docx,N/A," ,","Missing or superfluous space before or after period, comma and other punctuation marks",",",6657,6658,Grammar,40
English Assignment.docx,,.,A word was not spelled correctly,. ,7044,7044,Grammar,40
English Assignment.docx,idea is to entertain audiences while evoking fear and discomfort,idea,Omission of the definite article,the idea,7099,7102,Syntax,13
English Assignment.docx,Easiest way is to,Easiest way,Omission of the definite article,The easiest way,7281,7291,Syntax,13
English Assignment.docx,,.,A word was not spelled correctly,. ,8695,8695,Grammar,40
Key verbs exam questions (1).docx,"logically structured, for/or against any given point of view",for,No preposition needed,,213,215,Other,32
Key verbs exam questions (1).docx,some given point of view,some,A word was not spelled correctly,any,232,235,Spelling,1000
Key verbs exam questions (1).docx,order to bring out differences,differences,Omission of the definite article,the differences,479,489,Syntax,13
Key verbs exam questions (1).docx,"substance of the matter, omitting details and examples",substance,Omission of the definite article,the substance,1898,1906,Syntax,13
Key verbs exam questions (1).docx,the development or history of a topic form some point of origin,form,Confusion between words which sound similar or have a similar spelling,from,2008,2011,Punctuation,46
Literary Techniques (1).docx,to a famous person or event in life or literature,person or,Missing comma,"person, or",353,361,Style,49
Literary Techniques (1).docx,shoe is to foot,to,No preposition needed,,530,531,Other,32
Literary Techniques (1).docx,tire is to wheel,tire,Omission of the definite article,the tire,541,544,Syntax,13
Literary Techniques (1).docx,N/A,original but,Missing comma,"original, but",711,722,Style,49
Literary Techniques (1).docx,sounds at the ending of words placed,ending,"Wrong adverb used, adverb used instead of adjective or vice-versa",end,834,839,Syntax,23
Literary Techniques (1).docx,boats into the past,into,Wrong preposition,in,930,933,Grammar,29
Literary Techniques (1).docx,at last word of a line,last word,Omission of the definite article,the last word,997,1005,Syntax,13
Literary Techniques (1).docx,N/A,line but,Missing comma,"line, but",1012,1019,Style,49
Literary Techniques (1).docx,"Ya'll remember to wipe your feet""",Ya,A word was not spelled correctly,you,1151,1152,Syntax,31
Literary Techniques (1).docx,", not only of the visual sense, but of sensation and emotion as well",of,Wrong preposition,in,1554,1555,Grammar,29
Literary Techniques (1).docx,N/A,Irony,Omission of the definite article,The irony,1615,1619,Syntax,13
Literary Techniques (1).docx,"snap, bam, zoom, Vroom.",bam,A proper or common noun is not capitalized,Bam,2173,2175,Spelling,2
Literary Techniques (1).docx,"snap, Bam, zoom, vroom.",vroom,A proper or common noun is not capitalized,Vroom,2184,2188,Spelling,2
Literary Techniques (1).docx,The chair ran away,chair,Confusion between words which sound similar or have a similar spelling,car,2541,2545,Punctuation,46
Literary Techniques (1).docx,which results in humor,humor,Usage of British instead of American English spelling or vice-versa,humour,2671,2675,Syntax,44
Literary Techniques (1).docx,maid's cooking,maid¡¯s,Omission of the definite article,the maid¡¯s,3382,3387,Syntax,13
Literary Techniques (1).docx,floated in like a cloud,in,No preposition needed,,3541,3542,Other,32
Speech For English.docx,N/A,horror however,Missing comma,"horror, however",195,208,Style,49
Speech For English.docx,N/A,entertains but,Missing comma,"entertains, but",347,360,Style,49
Speech For English.docx,"simultaneously thus peaking my attention and love towards the genre, this is",simultaneously thus,Missing comma,"simultaneously, thus",369,387,Style,49
Speech For English.docx,entertained more but Frankenstein allowed me to understand the genre more,more but,Missing comma,"more, but",505,512,Style,49
Speech For English.docx,upon the values and ideas consisting of horror specifically inThe Raven,horror specifically,Missing comma,"horror, specifically",833,851,Style,49
Speech For English.docx,fearful effect towards the audience,fearful effect,"Confusion between ""a""/""an"" or omission of an indefinite article",a fearful effect,1024,1037,Syntax,12
Speech For English.docx,found my strength was analyzing the psychological horror,analyzing,Usage of British instead of American English spelling or vice-versa,analysing,1125,1133,Syntax,44
Speech For English.docx,N/A,character not,Missing comma,"character, not",1317,1329,Style,49
Speech For English.docx,"about the events after, not cheap",after,No preposition needed,,1439,1443,Other,32
Speech For English.docx,had within the assignment but,assignment but,Missing comma,"assignment, but",1707,1720,Style,49
Speech For English.docx,", I believe, also disallowed"," ,","Missing or superfluous space before or after period, comma and other punctuation marks",",",1983,1984,Grammar,40
Speech For English.docx,"allowed could analyze it more easily, thus allowing me to understand it more",analyze,Usage of British instead of American English spelling or vice-versa,analyse,2232,2238,Syntax,44
Speech For English.docx,could analyse more easily thus allowing me to understand it more,easily thus,Missing comma,"easily, thus",2248,2258,Style,49
Speech For English.docx,"Concordantly, Frankenstein was most",Concordantly,A word was not spelled correctly,Coincidentally,2384,2395,Syntax,31
Speech For English.docx,"the beneficial to my learning ,"," ,","Missing or superfluous space before or after period, comma and other punctuation marks",",",2449,2450,Grammar,40
Speech For English.docx,physical aspect of horror,physical aspect,Omission of the definite article,the physical aspect,2499,2513,Syntax,13
Speech For English.docx,N/A,limitations however,Missing comma,"limitations, however",2614,2632,Style,49
wadih english submission.docx,the frame(the eyes and nose),(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,183,183,Grammar,40
wadih english submission.docx,young bruce Willis (pulp fiction),bruce,A proper or common noun is not capitalized,Bruce,463,467,Spelling,2
wadih english submission.docx,of young Bruce willis (pulp fiction),willis,A proper or common noun is not capitalized,Willis,469,474,Spelling,2
wadih english submission.docx,young Bruce Willis(pulp fiction),(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,475,475,Grammar,40
Year 10 English Task 1 2020- Final.docx,Name:____________ Class and Teacher:____________________________________,:,"Missing or superfluous space before or after period, comma and other punctuation marks",: ,172,172,Grammar,40
Year 10 English Task 1 2020- Final.docx,Name:____________ Class and Teacher:____________________________________,:,"Missing or superfluous space before or after period, comma and other punctuation marks",: ,210,210,Grammar,40
Act 1 Scene 5 summary.docx,Act 1 Scene 5 summary,summary,Confusion between the singular and plural form of a noun,summaries,14,20,Punctuation,42
Act 1 Scene 5 summary.docx,( are coming true),(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,81,81,Grammar,40
Act 1 Scene 5 summary.docx,she is determined to murder however fears,murder however,Missing comma,"murder, however",154,167,Style,49
Act 1 Scene 5 summary.docx,milk of human kidnesses'. Lady Macbeth,kidnesses¡¯,A word was not spelled correctly,N/A,238,247,Syntax,31
Act 1 Scene 5 summary.docx,N/A,time however,Missing comma,"time, however",344,355,Style,49
Act 1 Scene 5 summary.docx,", in most plays men"," ,","Missing or superfluous space before or after period, comma and other punctuation marks",",",412,413,Grammar,40
Act 1 Scene 5 summary.docx,other jimbos (lords),jimbos,A word was not spelled correctly,jumbos,567,572,Syntax,31
Act 1 Scene 5 summary.docx,other jumbos(lords),(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,573,573,Grammar,40
Act 1 Scene 5 summary.docx,is overly nice appearances vs reality,vs,A word was not spelled correctly,vs.,758,759,Syntax,31
Act 1 Scene 5 summary.docx,Soliloquiy a character speaks out,Soliloquiy,A word was not spelled correctly,Soliloquy,876,885,Syntax,31
Act 1 Scene 5 summary.docx,character speaks out,character,"Confusion between ""a""/""an"" or omission of an indefinite article",a character,892,900,Syntax,12
Act 1 Scene 5 summary.docx,hwen they are alone or believe they are alone,hwen,A word was not spelled correctly,when,928,931,Syntax,31
Act 1 Scene 5 summary.docx,"The most famous lines, very powerful innew working",innew,"A word was accidentally split in two or vice-versa, two words were accidentally merged into a single word",in new,1030,1034,Other,1
Act 1 Scene 5 summary.docx,to have powerful role for women,powerful role,"Confusion between ""a""/""an"" or omission of an indefinite article",a powerful role,1110,1122,Syntax,12
Act 1 Scene 5 summary.docx,a powerful role for woman,woman,Confusion between the singular and plural form of a noun,women,1128,1132,Punctuation,42
Act 1 Scene 5 summary.docx,N/A,him but,Missing comma,"him, but",1294,1300,Style,49
Act 1 Scene 5 summary.docx,N/A,Ye,A word was not spelled correctly,N/A,1340,1341,Syntax,31
Act 1 Scene 5 summary.docx,N/A,kindess¡¯,A word was not spelled correctly,kindness,1400,1407,Syntax,31
Act 1 Scene 5 summary.docx,N/A,unsex,A word was not spelled correctly,unisex,1444,1448,Syntax,31
Act 1 Scene 5 summary.docx,N/A, .,"Missing or superfluous space before or after period, comma and other punctuation marks",.,1466,1467,Grammar,40
Act 1 Scene 5 summary.docx,N/A,dsctruction,A word was not spelled correctly,destruction,1564,1574,Syntax,31
Act 1 Scene 5 summary.docx,N/A,unsex,A word was not spelled correctly,N/A,1680,1684,Syntax,31
Act 1 Scene 5 summary.docx,to the unsexing.,unsexing,A word was not spelled correctly,N/A,1849,1856,Syntax,31
Act 1 Scene 5 summary.docx,"The literal physical act, Goas against the social norms of the time",literal physical,Missing comma,"literal, physical",1863,1878,Style,49
Act 1 Scene 5 summary.docx,against social norms of the time,social norms,Omission of the definite article,the social norms,1920,1931,Syntax,13
ACT 3 SCENE 3.docx,"son , dies"," ,","Missing or superfluous space before or after period, comma and other punctuation marks",",",162,163,Grammar,40
ACT 3 SCENE 3.docx,differ to the film version of this scene,to,Wrong preposition,in,249,250,Grammar,29
ACT 3 SCENE 3.docx,dies and fleance escapes,fleance,"Wrong adverb used, adverb used instead of adjective or vice-versa",violently,364,370,Syntax,23
ACT 3 SCENE 3.docx,The director had creativity and displayed the nobility of Banquo very smoothly,creativity,"Wrong adverb used, adverb used instead of adjective or vice-versa",created,745,754,Syntax,23
ACT 3 SCENE 3.docx,his great combat experience and banquos strength,banquos,A word was not spelled correctly,banks,858,864,Syntax,31
ACT 3 SCENE 3.docx,N/A,misses but,Missing comma,"misses, but",993,1002,Style,49
ACT 3 SCENE 3.docx,"defends fleance, barrel roll, bunch of shooting, hand to hand combat",fleance,A word was not spelled correctly,violence,1084,1090,Syntax,31
Act 3 Summary and Cloze Passage.docx,Duncan's sons Malcolm and Donaldbain won't confess,sons Malcolm,Missing comma,"sons, Malcolm",342,353,Style,49
Act 3 Summary and Cloze Passage.docx,the crimes they've commited,commited,A word was not spelled correctly,committed,1122,1129,Syntax,31
Act 3 Summary and Cloze Passage.docx,to act normal infront of the guests,infront,"A word was accidentally split in two or vice-versa, two words were accidentally merged into a single word",in front,1371,1377,Other,1
Act 3 Summary and Cloze Passage.docx,informs that Banquo is dead but Fleance has escaped,dead but,Missing comma,"dead, but",1943,1950,Style,49
Act 3 Summary and Cloze Passage.docx,Macbeth returns to the feast,returns,Mismatch between the plurality of the verb and the subject,return,2104,2110,Grammar,21
Act 3 Summary and Cloze Passage.docx,N/A,them but,Missing comma,"them, but",2351,2358,Style,49
Act 3 Summary and Cloze Passage.docx,", confused by his behavior,",behavior,Usage of British instead of American English spelling or vice-versa,behaviour,2546,2553,Syntax,44
Act 3 Summary and Cloze Passage.docx,charges the ghost to speak but it disappears,speak but,Missing comma,"speak, but",2893,2901,Style,49
Act 3 Summary and Cloze Passage.docx,"for being ""unmanned in folly"" ,"," ,","Missing or superfluous space before or after period, comma and other punctuation marks",",",2982,2983,Grammar,40
Act 3 Summary and Cloze Passage.docx,asks what sights Macbeth means ., .,"Missing or superfluous space before or after period, comma and other punctuation marks",.,3441,3442,Grammar,40
Act 3 Summary and Cloze Passage.docx,Alone Macbeth expresses his deep anxieties and vows to return to the Weird Sisters,deep,Wrong usage of comparative and superlative structures,deepest,3583,3586,Punctuation,50
Act 3 Summary and Cloze Passage.docx,to lead to over throw him,over throw,"A word was accidentally split in two or vice-versa, two words were accidentally merged into a single word",overthrow,4431,4440,Other,1
Act 3 Summary and Cloze Passage.docx,complete the cloze passage,cloze,A proper or common noun is not capitalized,Cloze,4561,4565,Spelling,2
Act 3 Summary and Cloze Passage.docx,insane politics desire thinks,politics desire,Missing comma,"politics, desire",4760,4774,Style,49
Act 3 Summary and Cloze Passage.docx,prophecy can come also thinking that the prophecy might also,prophecy,The first word in a sentence is not capitalized,Prophecy,4998,5005,Spelling,45
Act 3 Summary and Cloze Passage.docx,be true for him,be,The first word in a sentence is not capitalized,Be,5071,5072,Spelling,45
Act 3 Summary and Cloze Passage.docx,Banquo along with,Banquo,A word was not spelled correctly,Banquet,5246,5251,Syntax,31
Act 3 Summary and Cloze Passage.docx,leave Macbeth but they will return later on to the banquet,Macbeth but,Missing comma,"Macbeth, but",5279,5289,Style,49
Act 3 Summary and Cloze Passage.docx,on for the banquet,for,Wrong preposition,to,5317,5319,Grammar,29
At the king.docx,N/A,Duncan thanks,Missing comma,"Duncan, thanks",213,225,Style,49
At the king.docx,N/A,joy but,Missing comma,"joy, but",439,445,Style,49
At the king.docx,relayed info and betrayed his own people and therefore Duncan had him executed,info,Omission of the definite article,the info,839,842,Syntax,13
At the king.docx,"Malcolm becomes heir to throne, Macbeth becomes new thane of Cawdor",thane,A word was not spelled correctly,Thane,1052,1056,Spelling,1000
At the king.docx,new Thane of cawdor,cawdor,A proper or common noun is not capitalized,Cawdor,1061,1066,Spelling,2
At the king.docx,If Malcolm becomes heir then he poses,heir then,Missing comma,"heir, then",1180,1188,Style,49
At the king.docx,(appearing an amazing wife,(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,1565,1565,Grammar,40
At the king.docx,N/A,however she,Missing comma,"however, she",1593,1603,Style,49
At the king.docx,to kill((Duncan),(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,1639,1639,Grammar,40
English Study Notes (1).docx,Appearance vs Reality,vs,A word was not spelled correctly,vs.,81,82,Syntax,31
English Study Notes (1).docx,(high ranking in the Scottish army),ranking,"Wrong adverb used, adverb used instead of adjective or vice-versa",rank,665,671,Syntax,23
English Study Notes (1).docx,Something that unavoidably happens to a person considered to be fortune,fortune,"Confusion between ""a""/""an"" or omission of an indefinite article",a fortune,959,965,Syntax,12
English Study Notes (1).docx,N/A,leaders but,Missing comma,"leaders, but",1913,1923,Style,49
English Study Notes (1).docx,"some offense, crime, wrong",offense,Usage of British instead of American English spelling or vice-versa,offence,2330,2336,Syntax,44
English Study Notes (1).docx,N/A,Cawdor but,Missing comma,"Cawdor, but",3963,3972,Style,49
English Study Notes (1).docx,Banqo will be father to a line of kings,father,"Confusion between ""a""/""an"" or omission of an indefinite article",a father,4016,4021,Syntax,12
English Study Notes (1).docx,Duncan proclaims to the throne and announces his intention to visit Macbeth's castle,proclaims,Mismatch between the plurality of the verb and the subject,proclaim,4635,4643,Grammar,21
english terms for entrance exam.docx,Pun A saying interpreted in multiple ways,Pun,"Confusion between ""a""/""an"" or omission of an indefinite article",A pun,700,702,Syntax,12
english terms for entrance exam.docx,Onomatopoeia : A, :,"Missing or superfluous space before or after period, comma and other punctuation marks",:,760,761,Grammar,40
english terms for entrance exam.docx,"Boom, buzzzzzz, sizzle",buzzzzzz,A word was not spelled correctly,buzzes,795,802,Syntax,31
english terms for entrance exam.docx,"irony, sarcasm and humor",humor,Usage of British instead of American English spelling or vice-versa,humour,917,921,Syntax,44
english terms for entrance exam.docx,of characters.,characters,Omission of the definite article,the characters,1018,1027,Syntax,13
english terms for entrance exam.docx,Zoomorphism: When humans give animal characteristics,Zoomorphism,A word was not spelled correctly,N/A,1034,1044,Syntax,31
english terms for entrance exam.docx,Zoomorphism: When humans are give animal characteristics,are give,Error in forming or applying the present simple tense,give,1059,1066,Spelling,34
english terms for entrance exam.docx,Sibilance The repetition of the s sound,Sibilance,A word was not spelled correctly,N/A,1094,1102,Syntax,31
english terms for entrance exam.docx,Hamartia A fatal flaw in a character which leads to their downfall,Hamartia,A word was not spelled correctly,N/A,1220,1227,Syntax,31
english terms for entrance exam.docx,Soliloquy : A, :,"Missing or superfluous space before or after period, comma and other punctuation marks",:,1378,1379,Grammar,40
Exam shit for English.docx,Exam shit for English,shit,Mismatch between the plurality of the verb and the subject,shits,5,8,Grammar,21
Exam shit for English.docx,Honor and Ambition,Honor,Usage of British instead of American English spelling or vice-versa,Honour,23,27,Syntax,44
Exam shit for English.docx,his deterioriation of his honour,deterioriation,A word was not spelled correctly,deterioration,108,121,Syntax,31
Exam shit for English.docx,of his honor.,honor,Usage of British instead of American English spelling or vice-versa,honour,130,134,Syntax,44
Exam shit for English.docx,is courageous and honorable,honorable,Usage of British instead of American English spelling or vice-versa,honourable,159,167,Syntax,44
Exam shit for English.docx,the biggest baddest scene,baddest,A word was not spelled correctly,Buddhist,207,213,Syntax,31
Exam shit for English.docx,He would get promoted but the prophecies drives him,promoted but,Missing comma,"promoted, but",289,300,Style,49
Exam shit for English.docx,the prophecis drives him,prophecis,A word was not spelled correctly,prophecies,306,314,Syntax,31
Exam shit for English.docx,His Ambition is his hamartia,hamartia,A word was not spelled correctly,helmet,350,357,Syntax,31
Exam shit for English.docx,hubris:excessive,:,"Missing or superfluous space before or after period, comma and other punctuation marks",: ,440,440,Grammar,40
Exam shit for English.docx,goes in his way,in,"Confusion between the prepositions ""in"", ""on"" and ""at""",on,641,642,Syntax,30
Exam shit for English.docx,a novel warrior with honest ambiton,ambiton,A word was not spelled correctly,ambition,700,706,Syntax,31
Exam shit for English.docx,someone that connot even control his own thoughts anymore,connot,A word was not spelled correctly,cannot,725,730,Syntax,31
Exam shit for English.docx,is made more specular,specular,A word was not spelled correctly,secular,804,811,Syntax,31
Exam shit for English.docx,Audience experiences a cathartic release,Audience,Omission of the definite article,The audience,875,882,Syntax,13
Exam shit for English.docx,Appearance vs reality (Versimilitude),vs,A word was not spelled correctly,vs.,1104,1105,Syntax,31
Exam shit for English.docx,Appearance vs. reality(Versimilitude),(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,1114,1114,Grammar,40
Exam shit for English.docx,is appearance vs reality,vs,A word was not spelled correctly,vs.,1190,1191,Syntax,31
Exam shit for English.docx,Verismilitude is a commonly used dramatic,Verismilitude,A word was not spelled correctly,Verisimilitude,1204,1216,Syntax,31
Exam shit for English.docx,appear to be loyal and honest however hide behind a false mask,honest however,Missing comma,"honest, however",1276,1289,Style,49
Exam shit for English.docx,If it wasn't for Lady Macbeth driving Macbeth to be a murdered,driving,Mismatch between the plurality of the verb and the subject,drives,1447,1453,Grammar,21
Exam shit for English.docx,N/A,murdered her,Missing comma,"murdered, she",1471,1482,Style,49
Exam shit for English.docx,masquerading however planning to kill the king,however planning,Missing comma,"however, planning",1576,1591,Style,49
Exam shit for English.docx,Soliloquy is used here to expose her inner thoughts and her true evil nature,Soliloquy,"Confusion between ""a""/""an"" or omission of an indefinite article",A soliloquy,1712,1720,Syntax,12
Exam shit for English.docx,charming and submissive especially hen Duncan comes to stay at the castle,submissive especially,Missing comma,"submissive, especially",1842,1862,Style,49
Exam shit for English.docx,to content against those honours deep and broad wherewith your majesty loads our house,content,Confusion between words which sound similar or have a similar spelling,contend,2019,2025,Punctuation,46
Exam shit for English.docx,to content against those honors,honors,Usage of British instead of American English spelling or vice-versa,honours,2041,2046,Syntax,44
Exam shit for English.docx,content against those honours deep and broad wherewith your majesty loads our house' ., .,"Missing or superfluous space before or after period, comma and other punctuation marks",.,2102,2103,Grammar,40
Exam shit for English.docx,Shes putting this massive act,Shes,A word was not spelled correctly,She's,2105,2108,Syntax,31
Exam shit for English.docx,She's putting on to put a false sense of security for Duncan,on,No preposition needed,,2135,2136,Other,32
Exam shit for English.docx,the ;all, ;,"Missing or superfluous space before or after period, comma and other punctuation marks",; ,2234,2235,Grammar,40
Exam shit for English.docx,"this a dagger which I see before me,/the handle toward my hand",",","Missing or superfluous space before or after period, comma and other punctuation marks",", ",2381,2381,Grammar,40
Exam shit for English.docx,,?,A word was not spelled correctly,? ,2408,2408,Grammar,40
Exam shit for English.docx,let me cluth thee,cluth,A word was not spelled correctly,clutch,2422,2426,Syntax,31
Macbeth - Dramatic Irony.docx,character's intents or actions,character¡¯s,"Confusion between ""a""/""an"" or omission of an indefinite article",a character¡¯s,255,265,Syntax,12
